Nov 02 18:26:30  [info] 127.0.0.1	 conn 1	 queries 33	 time 0.75	 tailor.local/ru/home/home.htm	0
Nov 02 18:52:14  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.7	 tailor.local/ru/product/dvigatel-caddy-20-td.htm	0
Nov 02 18:52:15  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.69	 tailor.local/ru/product/dvigatel-caddy-20-td.htm	0
Nov 02 18:52:16  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.55	 tailor.local/ru/product/	0
Nov 02 18:52:23  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.61	 tailor.local/ru/news_list/blog.htm	0
Nov 02 18:52:24  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.62	 tailor.local/ru/news_list/blog.htm	0
Nov 02 18:52:32  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.63	 tailor.local/ru/news/sneg-v-zhitomire-ubirayut-no-ne-vyvozyat-blog.htm	0
Nov 02 18:52:33  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.61	 tailor.local/ru/news/sneg-v-zhitomire-ubirayut-no-ne-vyvozyat-blog.htm	0
Nov 02 18:52:39  [info] 127.0.0.1	 conn 1	 queries 33	 time 0.74	 tailor.local/ru/home/home.htm	0
Nov 02 18:52:40  [info] 127.0.0.1	 conn 1	 queries 33	 time 0.75	 tailor.local/ru/home/home.htm	0
Nov 02 18:52:40  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.62	 tailor.local/frontend/webcontent/css/responsiveslides.css	0
Nov 02 18:52:41  [info] 127.0.0.1	 conn 1	 queries 33	 time 0.75	 tailor.local/ru/home/home.htm	0
